highway,km,buraco,remendo,trinca,placa,drenagem
474,117.0,0,0,0,8,0
474,118.0,0,39,650,286,39
474,119.0,0,26,637,65,13
474,120.0,0,26,624,156,26
474,121.0,0,0,624,169,91
474,122.0,0,0,637,182,117
474,123.0,0,0,624,52,234
474,124.0,0,65,624,78,221
474,125.0,0,39,624,182,286
474,126.0,0,52,650,65,429
474,127.0,0,156,637,221,403
474,128.0,0,13,624,26,390
474,129.0,0,156,624,65,429
474,130.0,0,69,1027,151,571
474,131.0,0,92,1104,414,621
474,132.0,0,46,1127,23,782
474,133.0,0,23,1104,92,874
474,134.0,0,299,1150,575,299
474,135.0,0,276,1127,69,575
474,136.0,0,46,1104,299,736
474,137.0,0,138,1127,575,621
474,138.0,0,46,1127,138,805
474,139.0,0,0,1150,414,506
474,140.0,0,138,1104,345,805
474,141.0,0,276,1127,414,690
474,142.0,0,138,1127,161,621
474,143.0,0,253,1127,322,621
474,144.0,0,46,1127,460,667
474,145.0,0,23,1127,207,805
474,146.0,0,161,1104,138,805
474,147.0,0,92,1104,184,644
474,148.0,0,46,1127,46,552
474,149.0,0,184,1104,299,483
474,150.0,0,115,1127,207,506
474,151.0,0,92,1127,46,322
474,152.0,0,195,791,90,279
474,153.0,0,378,414,36,27
474,154.0,0,18,414,99,225
474,155.0,0,18,405,27,90
474,156.0,0,9,423,45,270
474,157.0,0,81,432,54,306
474,158.0,0,126,414,18,297
474,159.0,0,63,423,63,324
474,160.0,0,45,216,54,144
