highway,km,buraco,remendo,trinca,placa,drenagem
474,117.0,0,0,0,16,0
474,118.0,0,78,1300,572,78
474,119.0,0,52,1274,130,26
474,120.0,0,52,1248,312,52
474,121.0,0,0,1248,338,182
474,122.0,0,0,1274,364,234
474,123.0,0,0,1248,104,468
474,124.0,0,130,1248,156,442
474,125.0,0,78,1248,364,572
474,126.0,0,104,1300,130,858
474,127.0,0,312,1274,442,806
474,128.0,0,26,1248,52,780
474,129.0,0,312,1248,130,858
474,130.0,0,138,2054,302,1142
474,131.0,0,184,2208,828,1242
474,132.0,0,92,2254,46,1564
474,133.0,0,46,2208,184,1748
474,134.0,0,598,2300,1150,598
474,135.0,0,552,2254,138,1150
474,136.0,0,92,2208,598,1472
474,137.0,0,276,2254,1150,1242
474,138.0,0,92,2254,276,1610
474,139.0,0,0,2300,828,1012
474,140.0,0,276,2208,690,1610
474,141.0,0,552,2254,828,1380
474,142.0,0,276,2254,322,1242
474,143.0,0,506,2254,644,1242
474,144.0,0,92,2254,920,1334
474,145.0,0,46,2254,414,1610
474,146.0,0,322,2208,276,1610
474,147.0,0,184,2208,368,1288
474,148.0,0,92,2254,92,1104
474,149.0,0,368,2208,598,966
474,150.0,0,230,2254,414,1012
474,151.0,0,184,2254,92,644
474,152.0,0,390,1582,180,558
474,153.0,0,756,828,72,54
474,154.0,0,36,828,198,450
474,155.0,0,36,810,54,180
474,156.0,0,18,846,90,540
474,157.0,0,162,864,108,612
474,158.0,0,252,828,36,594
474,159.0,0,126,846,126,648
474,160.0,0,90,432,108,288
