highway,km,buraco,remendo,trinca,placa,drenagem
458,98.0,0,0,826,104,204
458,99.0,0,1122,4896,102,1224
458,100.0,0,204,4998,306,1020
458,101.0,0,714,4896,612,918
458,102.0,0,1632,4998,612,102
458,103.0,0,2652,4896,204,102
458,104.0,0,102,5202,102,816
458,105.0,0,102,4896,102,204
458,106.0,0,1836,4998,102,306
458,107.0,0,2448,4896,102,612
458,108.0,0,0,5100,510,1938
458,109.0,0,510,5100,918,1122
458,110.0,0,0,4998,612,1122
458,111.0,0,1020,4896,306,612
458,112.0,0,102,4896,612,1122
458,113.0,0,102,4794,0,3468
458,114.0,0,204,4998,1020,2346
458,115.0,0,0,4998,204,1938
458,116.0,0,204,5100,408,2448
458,117.0,0,0,4998,408,2040
458,118.0,0,102,4896,0,2142
458,119.0,0,204,4896,204,612
458,120.0,0,102,4896,408,816
458,121.0,0,0,4998,102,714
458,122.0,0,204,4998,918,1734
458,123.0,0,102,4896,306,816
458,124.0,0,714,4896,102,2550
458,125.0,0,510,4896,204,1938
458,126.0,0,0,4998,102,204
458,127.0,0,204,4896,204,102
458,128.0,0,0,4998,102,204
458,129.0,0,102,4896,714,612
458,130.0,0,204,4998,102,1938
458,131.0,0,102,4896,102,204
458,132.0,0,102,4998,306,1326
458,133.0,0,102,4896,714,2142
458,134.0,0,102,5100,510,510
458,135.0,0,102,4998,510,612
458,136.0,0,408,4998,714,306
458,137.0,0,1122,4998,204,1020
458,138.0,0,816,4998,816,1122
458,139.0,0,204,5100,102,612
458,140.0,0,408,4896,612,2040
458,141.0,0,1734,4896,204,306
458,142.0,0,816,5100,1326,2244
458,143.0,0,510,4998,306,2550
458,144.0,0,1122,4896,918,1938
458,145.0,0,204,4794,510,3162
