highway,km,buraco,remendo,trinca,placa,drenagem
146,455.0,0,0,24,0,0
146,456.0,0,74,3478,74,1998
146,457.0,0,74,3552,0,1480
146,458.0,0,0,3478,370,1036
146,459.0,0,74,3626,222,1406
146,460.0,0,74,3626,148,1702
146,461.0,0,370,3478,222,592
146,462.0,0,1924,3626,74,444
146,463.0,0,74,3626,148,962
146,464.0,0,296,3626,666,888
146,465.0,0,370,3626,370,444
146,466.0,0,74,3626,222,740
146,467.0,0,592,3478,222,1628
146,468.0,0,148,3626,0,1036
146,469.0,0,370,3552,370,1036
146,470.0,0,296,3552,148,370
146,471.0,0,666,3700,296,592
146,472.0,0,370,3552,370,1258
146,473.0,0,370,3700,296,592
146,474.0,0,0,3552,0,1110
146,475.0,0,74,3626,74,222
146,476.0,0,74,3626,148,1628
146,477.0,0,74,3626,148,888
146,478.0,0,74,3626,74,814
146,479.0,0,0,3700,0,888
146,480.0,0,0,3700,74,1406
146,481.0,0,74,3626,148,1258
146,482.0,0,74,3626,148,2220
146,483.0,0,0,3478,74,1924
146,484.0,0,444,3626,74,2220
146,485.0,0,296,3700,74,962
146,486.0,0,222,3626,74,1184
146,487.0,0,222,3700,74,1406
146,488.0,0,0,3626,592,2146
146,489.0,0,0,3700,74,1480
146,490.0,0,222,3626,74,1850
146,491.0,0,222,3700,518,1258
146,492.0,0,32,1536,32,480
146,493.0,0,64,1536,32,160
146,494.0,0,96,1536,160,256
146,495.0,0,0,1472,32,928
146,496.0,0,64,1504,64,704
146,497.0,0,32,1504,288,608
146,498.0,0,0,1568,256,960
146,499.0,0,0,1504,192,832
146,500.0,0,0,1536,96,672
146,501.0,0,32,1504,32,928
146,502.0,0,192,1536,160,864
146,503.0,0,128,1568,288,576
146,504.0,0,128,1440,352,736
146,505.0,0,416,1568,448,1152
146,506.0,0,160,1536,288,960
146,507.0,0,286,1274,104,884
146,508.0,0,260,1274,52,572
146,509.0,0,182,1248,156,780
146,510.0,0,104,1274,416,624
146,511.0,0,208,1248,260,858
146,512.0,0,0,130,78,52
